Fold,R2,RMSE,MAE
1,0.6494387324907698,0.756447076153528,0.53194954485972
2,0.7358455115187541,0.6850559911817726,0.4908990997266524
3,0.5899222034166216,0.7707416723284812,0.5465012164603359
4,0.5662758176121748,0.7666692314999021,0.5296097066710387
5,0.6550391399047951,0.7640874202983013,0.5521988604378655
